name;des;type;source;my_opinion
prohodnoy;проходной балл в год поступления;real;order;0
target_1;закончил ли 1 курс;dummy;target;0
target_2;закончил ли 2 курс при условии что закончил 1;dummy;target;0
target_3;закончил ли 3 курс при условии что закончил 2;dummy;target;0
target_4;закончил ли 3 курс при условии что закончил 3;dummy;target;0
kurs;с какого курса вылетел (если не вылетел, то 5);cat;target;0
zima;отчислил ли зимой;dummy;target;0
leto;отчислили ли летом;dummy;target;0
akadem;пытался ли уйти в академ или восстановиться;dummy;target;0
EGE;балл ЕГЭ;real;order;1
lgota;была ли льгота;dummy;order;1
chelevoe;был ли целевиком;dummy;order;1
olimp;был ли олимпиадником;dummy;order;1
dogovor;учился ли на договоре;dummy;order;1
ochko-zaochka;учился ли на очко-заочке (не физтех!);dummy;order;1
ege_diff;отклонение балла ЕГЭ от проходного;real;order;1
kozko;читал ли лекции Козко;dummy;order;1
hodit_para;насколько часто ходит на пары;real;assesors;0
hodit_tusa;насколько часто ходит на тусы с однокурсниками ;real;assesors;0
profile_city_moscow_dummy;указано, что живет в Москве;dummy;profile;1
profile_city_none_dummy;город не указан ;dummy;profile;1
profile_country_russia_dummy;указано что из России ;dummy;profile;-1
profile_country_none_dummy;страна не указана;dummy;profile;1
profile_male_dummy;мужчкой пол;dummy;profile;1
profile_has_ava_dummy;установлена ава;dummy;profile;1
profile_wall_comments_dummy;можно комментировать стену;dummy;profile;1
profile_facebook_dummy;есть ссылка на facebook;dummy;profile;1
profile_instagram_dummy;есть ссылка на instagramm;dummy;profile;1
profile_skype_dummy;есть ссылка на скайп;dummy;profile;1
profile_twitter_dummy;есть ссылка на twitter;dummy;profile;1
profile_home_phone_dummy;указан домашний телефон ;dummy;profile;-1
profile_mobile_phone_dummy;указан мобильный телефон ;dummy;profile;1
profile_site_dummy;указан свой личный сайт;dummy;profile;-1
meprofile_can_post_dummy;могу ли я постить у него на стене ;dummy;profile;-1
meprofile_can_see_all_posts_dummy;могу ли я видеть его стену;dummy;profile;-1
meprofile_can_see_audio_dummy;могу ли я видеть его аудио ;dummy;profile;-1
meprofile_can_write_private_message_dummy;могу ли я писать ему приватные сообщения;dummy;profile;-1
profile_vuz_ranepa_yes_dummy;указан ли РАНХиГС как вуз;dummy;profile;-1
profile_vuz_none_dummy;вуз не указан ;dummy;profile;-1
profile_econom_yes_dummy;указан ли экономический факультет ;dummy;profile;-1
profile_moscow_hometown_dummy;указана ли Москва как родной город ;dummy;profile;-1
profile_relation_partner_yes_dummy;указан партнёр по отношениям;dummy;profile;1
profile_group_hide_dummy;группы скрыты ;dummy;profile;1
profile_engl_dummy;указан ли в профиле английский язык как второй;dummy;profile;1
profile_albums_cnt;число альбомов;cnt;profile;1
